startId,count,endId
MESH_D007010,1,MESH_D006943
MESH_D007010,1,MESH_D006955
MESH_D007010,1,MESH_D007003
MESH_D007010,1,MESH_D007022
MESH_D007010,1,MESH_D007676
MESH_D007010,1,MESH_D007964
MESH_D007010,1,MESH_D008582
MESH_D007010,1,MESH_D009102
MESH_D007010,1,MESH_D009187
MESH_D007010,1,MESH_D009205
MESH_D007010,1,MESH_D009212
MESH_D007010,1,MESH_D009395
MESH_D007010,1,MESH_D009422
MESH_D007010,1,MESH_D009443
MESH_D007010,1,MESH_D009759
MESH_D007010,1,MESH_D009886
MESH_D007010,1,MESH_D010146
MESH_D007010,1,MESH_D010301
MESH_D007010,1,MESH_D010608
MESH_D007010,1,MESH_D011008
MESH_D007010,1,MESH_D011015
MESH_D007010,1,MESH_D011507
MESH_D007010,1,MESH_D012021
MESH_D007010,1,MESH_D012206
MESH_D007010,1,MESH_D012282
MESH_D007010,1,MESH_D012817
MESH_D007010,1,MESH_D013575
MESH_D007010,1,MESH_D014474
MESH_D007010,1,MESH_D015835
MESH_D007010,1,MESH_D015840
MESH_D007010,1,MESH_D016638
MESH_D007010,1,MESH_D016920
MESH_D007010,1,MESH_D020181
MESH_D007010,1,MESH_D020246
MESH_D007010,1,MESH_D020896
MESH_D007010,1,MESH_D045169
MESH_D007010,1,MESH_D050723
MESH_D007010,1,MESH_D051436
MESH_D007010,1,MESH_D051437
MESH_D007010,1,MESH_D053099
MESH_D007010,1,MESH_D059606
MESH_D007010,1,MESH_D059787
MESH_D007010,1,MESH_D063806
MESH_D007010,1,MESH_D006973
MESH_D007010,1,MESH_D002386
MESH_D007010,1,MESH_D003920
MESH_D007010,1,MESH_D004827
MESH_D007010,1,MESH_D006973
MESH_D007010,1,MESH_D006973
MESH_D007010,1,MESH_D006973
MESH_D007010,1,MESH_D006973
MESH_D007010,1,MESH_D007249
MESH_D007010,1,MESH_D010146
MESH_D007010,1,MESH_D011470
MESH_D007010,1,MESH_D015417
MESH_D007011,1,MESH_D000472
MESH_D007011,1,MESH_D007674
MESH_D007011,1,MESH_D008286
MESH_D007011,1,MESH_D010024
MESH_D007011,1,MESH_D019142
MESH_D007011,1,MESH_D045169
MESH_D007011,1,MESH_D051436
MESH_D007012,1,MESH_C531604
MESH_D007012,1,MESH_C535584
MESH_D007012,1,MESH_C536362
MESH_D007012,1,MESH_C538225
MESH_D007012,1,MESH_C564546
MESH_D007012,1,MESH_D000072281
MESH_D007012,1,MESH_D000072717
MESH_D007012,1,MESH_D000077273
MESH_D007012,1,MESH_D002280
MESH_D007012,1,MESH_D002294
MESH_D007012,1,MESH_D002481
MESH_D007012,1,MESH_D003141
MESH_D007012,1,MESH_D004417
MESH_D007012,1,MESH_D005764
MESH_D007012,1,MESH_D006042
MESH_D007012,1,MESH_D006470
MESH_D007012,1,MESH_D006965
MESH_D007012,1,MESH_D006973
MESH_D007012,1,MESH_D007239
MESH_D007012,1,MESH_D008047
MESH_D007012,1,MESH_D008048
MESH_D007012,1,MESH_D008206
MESH_D007012,1,MESH_D008577
MESH_D007012,1,MESH_D008949
MESH_D007012,1,MESH_D009059
MESH_D007012,1,MESH_D009062
MESH_D007012,1,MESH_D009336
MESH_D007012,1,MESH_D009669
MESH_D007012,1,MESH_D009765
MESH_D007012,1,MESH_D010608
MESH_D007012,1,MESH_D010859
MESH_D007012,1,MESH_D011015
MESH_D007012,1,MESH_D012128
MESH_D007012,1,MESH_D012468
MESH_D007012,1,MESH_D012852
MESH_D007012,1,MESH_D012878
MESH_D007012,1,MESH_D013964
MESH_D007012,1,MESH_D014786
MESH_D007012,1,MESH_D015451
MESH_D007012,1,MESH_D018327
MESH_D007012,1,MESH_D018908
MESH_D007012,1,MESH_D029424
MESH_D007012,1,MESH_D045169
MESH_D007012,1,MESH_D051436
MESH_D007012,1,MESH_D051437
MESH_D007012,1,MESH_D054515
MESH_D007012,1,MESH_D059525
MESH_D007018,1,MESH_C535280
MESH_D007018,1,MESH_D000079225
MESH_D007018,1,MESH_D006333
MESH_D007018,1,MESH_D007239
MESH_D007018,1,MESH_D013959
MESH_D007019,1,MESH_C564833
MESH_D007019,1,MESH_D000067073
MESH_D007019,1,MESH_D000239
MESH_D007019,1,MESH_D000471
MESH_D007019,1,MESH_D000544
MESH_D007019,1,MESH_D001102
MESH_D007019,1,MESH_D001168
MESH_D007019,1,MESH_D001201
MESH_D007019,1,MESH_D001237
MESH_D007019,1,MESH_D001249
MESH_D007019,1,MESH_D001327
MESH_D007019,1,MESH_D001424
MESH_D007019,1,MESH_D001930
MESH_D007019,1,MESH_D001943
MESH_D007019,1,MESH_D002534
MESH_D007019,1,MESH_D002769
MESH_D007019,1,MESH_D002779
MESH_D007019,1,MESH_D003128
MESH_D007019,1,MESH_D003141
MESH_D007019,1,MESH_D003428
MESH_D007019,1,MESH_D003490
