startId,endId,count
GENE_1401,GENE_2244,531
GENE_7113,GENE_1514,529
GENE_3576,GENE_3552,529
GENE_3552,GENE_3576,529
GENE_1514,GENE_7113,529
GENE_5972,GENE_183,526
GENE_183,GENE_5972,526
GENE_6347,GENE_3552,518
GENE_3552,GENE_6347,518
GENE_7124,GENE_3605,511
GENE_3605,GENE_7124,511
GENE_10899,GENE_2525,510
GENE_2525,GENE_10899,510
GENE_3605,GENE_3569,506
GENE_3569,GENE_3605,506
GENE_3569,GENE_3553,504
GENE_3553,GENE_3569,504
GENE_3586,GENE_3558,497
GENE_3558,GENE_3586,497
GENE_43740575,GENE_43740570,494
GENE_43740570,GENE_43740575,494
GENE_6347,GENE_1440,485
GENE_1440,GENE_6347,485
GENE_7124,GENE_925,483
GENE_925,GENE_7124,483
GENE_4790,GENE_3569,481
GENE_3569,GENE_4790,481
GENE_7124,GENE_4790,477
GENE_4790,GENE_7124,477
GENE_3586,GENE_3552,474
GENE_3552,GENE_3586,474
GENE_3627,GENE_3458,472
GENE_3458,GENE_3627,472
GENE_6347,GENE_3458,471
GENE_3458,GENE_6347,471
GENE_26503,GENE_2875,469
GENE_2875,GENE_26503,469
GENE_6348,GENE_3586,467
GENE_3586,GENE_6348,467
GENE_3458,GENE_925,463
GENE_925,GENE_3458,463
GENE_3627,GENE_3552,461
GENE_3552,GENE_3627,461
GENE_284_285_51378_27329,GENE_185,460
GENE_7124,GENE_920,460
GENE_3127,GENE_3115,460
GENE_3115,GENE_3127,460
GENE_920,GENE_7124,460
GENE_185,GENE_284_285_51378_27329,460
GENE_59272,GENE_11606,458
GENE_11606,GENE_59272,458
GENE_6833,GENE_1674,453
GENE_1674,GENE_6833,453
GENE_7124,GENE_3574,449
GENE_3574,GENE_7124,449
GENE_7291,GENE_3569,447
GENE_3569,GENE_7291,447
GENE_3569,GENE_1440,441
GENE_1440,GENE_3569,441
GENE_59272,GENE_3827,433
GENE_3827,GENE_59272,433
GENE_6348,GENE_1440,431
GENE_1440,GENE_6348,431
GENE_70008,GENE_1636,425
GENE_1636,GENE_70008,425
GENE_80306,GENE_66999,420
GENE_66999,GENE_80306,420
GENE_1401,GENE_920,417
GENE_920,GENE_1401,417
GENE_70008,GENE_183,416
GENE_183,GENE_70008,416
GENE_2875,GENE_1401,411
GENE_1401,GENE_2875,411
GENE_3127,GENE_3117,411
GENE_3117,GENE_3127,411
GENE_59272,GENE_290,409
GENE_290,GENE_59272,409
GENE_3574,GENE_3569,408
GENE_3569,GENE_3574,408
GENE_59272,GENE_6347,408
GENE_6347,GENE_59272,408
GENE_3569,GENE_3439,406
GENE_3439,GENE_3569,406
GENE_59272,GENE_3439,405
GENE_3439,GENE_59272,405
GENE_3125,GENE_3113,402
GENE_3113,GENE_3125,402
GENE_3458,GENE_920,401
GENE_920,GENE_3458,401
GENE_3627,GENE_1440,400
GENE_1440,GENE_3627,400
GENE_3576,GENE_3458,398
GENE_3458,GENE_3576,398
GENE_10899,GENE_1674,397
GENE_1674,GENE_10899,397
GENE_43740568,GENE_7448,395
GENE_7448,GENE_43740568,395
GENE_3569,GENE_1437,391
GENE_1437,GENE_3569,391
GENE_43740578,GENE_59272,390
GENE_59272,GENE_43740578,390
GENE_1401,GENE_925,389
GENE_925,GENE_1401,389
GENE_43740571,GENE_43740570,387
GENE_43740570,GENE_43740571,387
GENE_3827,GENE_1636,385
GENE_1636,GENE_3827,385
GENE_43740568,GENE_1803,381
GENE_1803,GENE_43740568,381
GENE_3127,GENE_3119,380
GENE_3119,GENE_3127,380
GENE_3586,GENE_1401,378
GENE_7124,GENE_3565,378
GENE_3586,GENE_3574,378
GENE_1401,GENE_3586,378
GENE_3574,GENE_3586,378
GENE_3565,GENE_7124,378
GENE_7124,GENE_3553,376
GENE_3553,GENE_7124,376
GENE_59272,GENE_1514,375
GENE_3558,GENE_3458,375
GENE_3458,GENE_3558,375
GENE_1514,GENE_59272,375
GENE_43740578,GENE_43740577,375
GENE_43740577,GENE_43740578,375
GENE_302668,GENE_24310,374
GENE_24310,GENE_302668,374
GENE_3569,GENE_3559,371
GENE_3559,GENE_3569,371
GENE_43740578,GENE_43740570,367
GENE_43740570,GENE_43740578,367
GENE_43740570,GENE_43740568,366
GENE_43740568,GENE_43740570,366
GENE_3586,GENE_925,364
GENE_925,GENE_3586,364
GENE_3586,GENE_920,363
GENE_920,GENE_3586,363
GENE_340024,GENE_59272,358
GENE_59272,GENE_340024,358
GENE_5972,GENE_1636,355
GENE_1636,GENE_5972,355
GENE_3569,GENE_183,354
GENE_183,GENE_3569,354
GENE_59272,GENE_3552,352
GENE_3552,GENE_59272,352
GENE_3126,GENE_3113,350
GENE_3113,GENE_3126,350
GENE_None,GENE_43740568,350
GENE_59272,GENE_3630,349
GENE_3630,GENE_59272,349
GENE_6347,GENE_3574,339
GENE_3574,GENE_6347,339
GENE_302668,GENE_70008,339
GENE_70008,GENE_302668,339
GENE_3586,GENE_1440,336
GENE_1440,GENE_3586,336
GENE_3606,GENE_3569,331
GENE_3569,GENE_3606,331
GENE_3586,GENE_3565,329
GENE_3565,GENE_3586,329
GENE_114548,GENE_3552,328
GENE_3552,GENE_114548,328
GENE_3627,GENE_3574,325
GENE_3574,GENE_3627,325
GENE_6347,GENE_3558,324
GENE_6348,GENE_3574,324
GENE_3558,GENE_6347,324
GENE_3574,GENE_6348,324
GENE_8081,GENE_1803,320
GENE_1803,GENE_8081,320
GENE_59272,GENE_3458,315
GENE_3458,GENE_59272,315
GENE_6774,GENE_3569,311
GENE_3569,GENE_6774,311
GENE_7124,GENE_3439,309
GENE_3439,GENE_7124,309
GENE_26503,GENE_250,305
GENE_250,GENE_26503,305
GENE_59272,GENE_284,303
GENE_284,GENE_59272,303
GENE_43740571,GENE_59272,303
GENE_59272,GENE_43740571,303
GENE_7039,GENE_3569,301
GENE_3569,GENE_7039,301
GENE_116511,GENE_183,300
GENE_183,GENE_116511,300
GENE_3107,GENE_3105,295
GENE_3105,GENE_3107,295
GENE_3627,GENE_3558,294
GENE_3558,GENE_3627,294
GENE_7113,GENE_6868,293
GENE_6868,GENE_7113,293
GENE_None,GENE_43740575,290
GENE_3565,GENE_3458,289
GENE_3458,GENE_3565,289
GENE_7113,GENE_1508,288
GENE_3440,GENE_3439,288
GENE_3439,GENE_3440,288
GENE_1508,GENE_7113,288
GENE_43740577,GENE_43740575,286
GENE_43740575,GENE_43740577,286
GENE_3574,GENE_1440,284
GENE_1440,GENE_3574,284
GENE_59272,GENE_682,283
GENE_682,GENE_59272,283
GENE_59272,GENE_4311,282
GENE_4311,GENE_59272,282
GENE_7113,GENE_2147,280
GENE_2147,GENE_7113,280
GENE_3552,GENE_1401,279
GENE_7124,GENE_1437,279
GENE_1401,GENE_3552,279
GENE_26503,GENE_3569,279
GENE_1437,GENE_7124,279
GENE_3569,GENE_26503,279
GENE_3127,GENE_3113,277
GENE_3113,GENE_3127,277
GENE_70008,GENE_11421,277
GENE_11421,GENE_70008,277
GENE_3569,GENE_2244,276
GENE_2244,GENE_3569,276
GENE_3630,GENE_3569,276
GENE_3569,GENE_3630,276
GENE_59272,GENE_920,275
GENE_920,GENE_59272,275
GENE_6348,GENE_3458,274
GENE_3572,GENE_3569,274
GENE_3569,GENE_3572,274
GENE_3458,GENE_6348,274
GENE_43740577,GENE_5728,272
GENE_5728,GENE_43740577,272
GENE_3574,GENE_3558,271
GENE_3558,GENE_3574,271
GENE_3606,GENE_3552,270
GENE_3552,GENE_3606,270
GENE_7422,GENE_7124,269
GENE_7124,GENE_7422,269
GENE_6348,GENE_3558,268
GENE_3558,GENE_6348,268
GENE_6348,GENE_3576,266
GENE_3576,GENE_6348,266
GENE_59272,GENE_2147,261
GENE_9564,GENE_2525,261
GENE_2525,GENE_9564,261
GENE_2147,GENE_59272,261
GENE_6352,GENE_3569,258
GENE_3569,GENE_6352,258
GENE_50528,GENE_7113,257
GENE_7113,GENE_50528,257
GENE_7113,GENE_1636,254
GENE_111654,GENE_3439,254
GENE_7124,GENE_6868,254
GENE_1636,GENE_7113,254
GENE_6868,GENE_7124,254
GENE_3439,GENE_111654,254
GENE_None,GENE_183,253
GENE_7040,GENE_1080,253
GENE_1080,GENE_7040,253
GENE_7448,GENE_7113,253
GENE_7113,GENE_7448,253
GENE_3569,GENE_213,245
GENE_213,GENE_3569,245
GENE_3558,GENE_1440,242
GENE_None,GENE_1636,242
GENE_1440,GENE_3558,242
GENE_43740578,GENE_8673700,242
GENE_8673700,GENE_43740578,242
GENE_302668,GENE_1636,241
GENE_1636,GENE_302668,241
GENE_70008,GENE_50528,240
GENE_50528,GENE_70008,240
GENE_43740568,GENE_1514,237
GENE_1514,GENE_43740568,237
GENE_43740575,GENE_59272,236
GENE_59272,GENE_43740575,236
GENE_1636,GENE_283,235
GENE_59272,GENE_1283,235
GENE_283,GENE_1636,235
GENE_1283,GENE_59272,235
GENE_283,GENE_183,232
GENE_183,GENE_283,232
GENE_6348,GENE_3552,232
GENE_3552,GENE_6348,232
GENE_6868,GENE_3569,231
GENE_3569,GENE_6868,231
GENE_6868,GENE_183,229
GENE_183,GENE_6868,229
GENE_3146,GENE_177,228
GENE_177,GENE_3146,228
GENE_3458,GENE_3440,228
GENE_3440,GENE_3458,228
GENE_43740575,GENE_3105,227
GENE_3105,GENE_43740575,227
GENE_2214,GENE_920,225
GENE_920,GENE_2214,225
GENE_7422,GENE_3569,225
GENE_3569,GENE_7422,225
GENE_43740578,GENE_5728,224
GENE_5728,GENE_43740578,224
GENE_43740578,GENE_43740571,223
GENE_43740571,GENE_43740578,223
GENE_7113,GENE_2078,222
GENE_2078,GENE_7113,222
GENE_284_285_51378_27329,GENE_70008,222
GENE_70008,GENE_284_285_51378_27329,222
GENE_43740575,GENE_3123,219
GENE_3123,GENE_43740575,219
GENE_3458,GENE_3439,218
GENE_3439,GENE_3458,218
GENE_43740578,GENE_3815,217
GENE_3815,GENE_43740578,217
GENE_3458,GENE_1440,214
GENE_1440,GENE_3458,214
GENE_59272,GENE_925,213
GENE_3569,GENE_929,213
GENE_929,GENE_3569,213
GENE_7448,GENE_5045,213
GENE_5045,GENE_7448,213
GENE_59272,GENE_24179,213
GENE_24179,GENE_59272,213
GENE_925,GENE_59272,213
GENE_43740575,GENE_43740569,213
